Team,Match,Match Type,No Show,A Start Pos,A High,A Low,A Missed,A Ball,A Hot,A Mobility,A Goalie Block,High,Low,Truss,Catch,Pickup,High Missed,Shots Blocked,Foul,Tech Foul,Truss to HP,Played D,HP Load,Stuck,Dead
"4508","001","Qualification","No","Center","0","0","0","No","No","Yes","No","0","1","1","0","3","0","0","0","0","No","No","No","No","No"
"250","001","Qualification","No","Right","0","0","1","Yes","No","Yes","No","1","0","0","0","2","1","0","0","1","No","Yes","No","No","No"
"1155","001","Qualification","No","Left","0","0","1","Yes","No","Yes","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"4930","001","Qualification","No","Left","0","0","1","Yes","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"3951","001","Qualification","No","Center","0","0","1","No","No","Yes","No","0","1,2","0","0","0","0","0","0","0","No","No","No","No","No"
"3003","001","Qualification","No","Right","1","0","0","No","Yes","Yes","No","2","0","0","0","2","0","0","0","0","No","Yes","No","No","No"
"1126","002","Qualification","No","Right","1","0","1","Yes","No","No","No","4","0","3","0","5","0","0","0","0","No","No","Yes","No","No"
"2340","002","Qualification","No","Left","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"3157","002","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","Yes","No"
"1507","002","Qualification","No","Left","1","0","0","Yes","Yes","Yes","No","1,2,3","0","1","0","1,2,3,4","0","0","0","0","No","Yes","No","No","No"
"2265","002","Qualification","No","Center","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","Yes"
"3015","002","Qualification","No","Right","1","0","0","Yes","No","Yes","No","0","1","1,2,3","0","0","0","0","0","0","No","No","No","No","Yes"
"3838","003","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"3181","003","Qualification","No","Left","0","0","1","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"174","x03","Qualification","No","Right","0","0","1","Yes","No","Yes","No","0","1,3","0","0","1,2,4","0","0","0","0","No","No","No","No","No"
"1511","003","Qualification","No","Right","1","0","0","Yes","Yes","Yes","No","1","2","0","0","5","0","0","0","0","No","Yes","No","No","No"
"3017","003","Qualification","No","Left","0","0","1","Yes","No","Yes","No","0","2","0","0","0","0","0","0","0","No","No","No","No","No"
"1551","003","Qualification","No","Center","0","0","0","No","No","Yes","No","0","0","3","0","2","0","0","0","0","No","Yes","No","No","No"
"578","004","Qualification","No","Left","0","0","1","No","No","No","No","0","1","1,2","0","1,2","0","0","0","0","No","Yes","Yes","No","No"
"1405","004","Qualification","No","Center","0","0","0","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"340","004","Qualification","No","Right","0","0","1","No","No","Yes","No","0","1,2","0","0","0","0","0","0","0","No","Yes","No","No","No"
"1450","004","Qualification","No","Left","0","0","1","No","No","Yes","No","0","2","0","0","0","0","0","0","0","No","No","No","No","No"
"73","004","Qualification","No","Right","0","0","0","Yes","No","Yes","No","0","2","0","0","0","0","0","0","0","No","Yes","No","No","No"
"5240","xxx","none","No","Center","0","0","1","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"2228","005","Qualification","No","Right","1","0","0","No","Yes","Yes","No","0","1","2","0","2","0","0","0","0","No","Yes","No","No","No"
"3173","005","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","1","0","0","0","0","No","Yes","Yes","No","No"
"334","005","Qualification","No","Left","0","0","2","Yes","No","No","No","1","2","0","0","4","1","0","0","0","No","Yes","No","No","No"
"2791","005","Qualification","No","Left","1","0","0","Yes","Yes","Yes","No","0","0","1","0","1","0","1","0","0","No","Yes","No","No","No"
"1591","005","Qualification","No","Center","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"3044","004,5","Qualification","No","Right","0","0","1","No","No","Yes","No","0","1,2,3","0","0","1,2,3,4,5","1","0","0","0","No","No","No","No","No"
"2809","006","Qualification","No","Right","0","0","1","Yes","No","No","No","0","3","0","0","3","0","0","0","0","No","Yes","No","No","No"
"1585","006","Qualification","No","Left","0","0","0","Yes","No","Yes","No","0","0","0","0","1","0","0","0","0","No","No","No","No","Yes"
"639","006","Qualification","No","Left","1","0","0","Yes","No","Yes","No","1,2,3","1","1","1","1,2,3","0","0","0","0","Yes","No","Yes","No","No"
"5349","006","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"Matai I","0,10,17","Elimination","Yes","Goalie,Left,Center","1","0","0","No","No","No","No","1,2,3,4,6,7,8,9","1,2,3,4,5,6","1,2,3,4,5,6,7,9","1,2,3,4,5,6","1,2,7,8,9","0","2,3,4","0","0","No","No","Yes","No","No"
"5254","005,6","Practice,Qualification","No","Right","0","1,2","1","Yes","No","Yes","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","Yes"
"20","007","Qualification","No","Right","1","0","1","Yes","Yes","No","No","2,3","1","0","1","1","0","0","1","0","Yes","Yes","Yes","No","No"
"4093","007","none","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","1","0","0","0","0","No","No","No","No","No"
"3799","007","Qualification","No","Left","0","0","1","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","No","Yes","No","No"
"1592","007","Qualification","No","Right","2","0","0","Yes","No","No","No","2","0","3","0","3","0","0","0","0","No","Yes","Yes","No","No"
"1518","007","Qualification","No","Left","0","0","1","Yes","No","Yes","No","0","0","1","0","1","0","0","0","0","No","Yes","No","No","No"
"191","007","Qualification","No","Center","1","0","0","No","No","Yes","No","0","0","1,2,3","0","0","0","0","0","0","No","No","No","No","No"
"801","008","Qualification","No","Left","1","0","0","Yes","Yes","Yes","No","1,2","0","0","0","1,2","0","0","0","0","No","No","No","No","No"
"378","008","Qualification","No","Right","1","0","0","No","No","Yes","No","0","0","0","0","1,2,3","0","0","0","0","No","Yes","No","No","No"
"341","008","Qualification","No","Right","1","0","0","Yes","Yes","Yes","No","0","0","4","0","5","0","0","0","0","No","Yes","No","No","No"
"743","008,9","Qualification","No","Center","0","0","0","No","No","Yes","No","0","1","0","0","0","0","0","0","0","No","Yes","No","No","No"
"1765","008","Qualification","No","Center","0","0","1","Yes","No","Yes","No","0","0","0","0","1","0","0","0","0","No","Yes","No","No","No"
"1493","008","none","No","Left","0","0","0","No","No","Yes","No","1,2","1","0","0","1","0","0","0","0","No","No","No","No","No"
"1507","009","Qualification","No","Center","1","0","0","No","No","Yes","No","3","1","2","0","2,4","0","0","0","0","No","Yes","No","No","No"
"3017","009","Qualification","No","Left","1","0","0","No","No","Yes","No","0","0","0","0","1,2","0","0","0","0","No","Yes","No","No","No"
"4930","009","Qualification","No","Left","0","1","0","No","No","Yes","No","0","2","0","0","1","0","0","0","0","No","Yes","No","No","Yes"
"4508","009","Qualification","No","Right","1","0","0","Yes","No","Yes","No","0","0","1","0","0","0","0","0","0","No","Yes","Yes","No","No"
"1155","009","Qualification","No","none","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"1559","009","Qualification","No","Center","0","0","1","Yes","No","Yes","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"3838","010","Qualification","No","Center","0","0","0","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"1405","010","Qualification","No","Right","1","0","0","Yes","No","No","No","1","2","0","0","3","0","0","0","0","Yes","Yes","Yes","No","No"
"1126","010","Qualification","No","Left","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"3157","010","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"2809","010","Qualification","No","none","1","0","0","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"3003","010","Qualification","No","Right","1","0","0","No","Yes","Yes","No","1,2","0","1","0","1,2,3","0","0","0","0","No","No","No","No","No"
"1585","011","Qualification","No","Right","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"3951","011","Qualification","No","Left","0","0","2","Yes","No","No","No","0","0","0","0","4","1","0","0","0","No","No","No","No","No"
"73","011","Qualification","No","Right","0","1","0","Yes","No","Yes","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"4023","011","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"3173","011","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","1,2,3","0","0","0","0","0","0","No","Yes","No","No","No"
"3015","011","Qualification","No","Left","1","0","1","Yes","No","Yes","No","1","2,3","0","0","1,2,3,4","0","0","0","0","No","Yes","No","No","No"
"2265","012","Qualification","No","Center","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","Yes"
"1450","012","Qualification","No","Left","0","0","1","Yes","No","No","No","0","0","0","0","2","0","0","0","0","No","No","Yes","No","No"
"191","012","Qualification","No","Right","0","0","1","Yes","No","Yes","No","1,2,3","0","1","0","1,4,5","0","0","0","0","No","No","Yes","No","No"
"639","012","Qualification","No","Right","0","0","1","Yes","No","Yes","No","0","4","1","0","4","0","0","0","0","No","No","No","No","No"
"5254","012","Qualification","No","Right","0","0","0","Yes","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"2228","012","Qualification","No","Left","0","0","1","No","No","Yes","No","0","0","0","0","1","1","0","0","0","No","No","No","No","No"
"341","013","Qualification","No","Right","1","0","0","Yes","No","Yes","No","1,2,3","0","1","0","1,3","0","0","0","0","No","Yes","No","No","No"
"4093","013","Qualification","No","Center","0","0","0","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"1511","013","Qualification","No","Left","1","1","0","Yes","Yes","Yes","No","3","0","0","0","2","0","0","0","0","No","Yes","No","No","No"
"334","013","Qualification","No","Left","0","0","1","Yes","Yes","Yes","No","1","1","0","0","1,2,3","0","0","0","0","No","Yes","No","No","No"
"1551","013","Qualification","No","Center","0","0","0","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"250","013","Qualification","No","Right","0","0","1","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"378","013,4","Qualification","No","Center","1","0","0","Yes","Yes","Yes","No","0","0","2","0","4","0","0","0","0","No","Yes","Yes","No","No"
"20","014","Qualification","No","Right","2","0","0","Yes","Yes","Yes","No","2,3","1","1","0","2,5","2","0","0","0","No","Yes","No","No","No"
"5349","014","Qualification","No","Center","0","0","0","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"2791","014","Qualification","No","Right","0","0","1","Yes","No","Yes","No","0","1,2,3,4","1","0","1,2,4","0","0","0","0","No","Yes","Yes","No","No"
"5240","00,13,4","Practice,Qualification","No","Left","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"3181","014","Qualification","No","Left","0","0","0","Yes","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"1559","015","Qualification","No","Right","0","0","0","No","No","No","No","0","0","1","0","2","0","0","0","0","No","Yes","Yes","No","No"
"1591","015","Qualification","No","Center","0","0","0","Yes","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"2340","015","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"340","015","Qualification","No","Left","2","0","0","No","No","Yes","No","3","0","1","0","6","2","0","0","0","No","Yes","No","No","No"
"1493","015","Qualification","No","Left","0","0","1","No","Yes","Yes","No","1","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"1765","015","Qualification","No","Right","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"174","016","Qualification","No","Right","0","0","1","Yes","No","Yes","No","0","1","1","0","2","0","0","0","0","No","Yes","No","No","No"
"3799","016","Qualification","No","Center","0","0","0","Yes","No","No","No","0","0","0","0","2","1","0","0","0","No","Yes","Yes","No","No"
"801","016","Qualification","No","Left","1","0","0","No","Yes","Yes","No","1,2","1","0","0","1,2","1","0","0","0","No","No","No","No","No"
"3044","016","Qualification","No","Right","1","0","0","Yes","Yes","Yes","No","0","0","1,2,3","0","1,2","0","1,2","0","0","No","Yes","No","No","No"
"578","016","Qualification","No","Left","1","0","0","No","No","Yes","No","1","1","0","0","3","0","0","0","0","No","Yes","No","No","No"
"1518","016","Qualification","No","Center","0","0","0","Yes","No","Yes","No","1","0","0","0","0","0","0","0","0","No","Yes","Yes","No","No"
"1592","017","Qualification","No","Center","2","0","0","Yes","Yes","Yes","No","0","0","2","0","3","0","0","0","0","No","Yes","No","No","No"
"341","017","Qualification","No","Right","0","0","1","Yes","No","No","No","4","0","0","0","4","1","0","0","0","No","Yes","Yes","No","No"
"1585","017","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"1155","017","none","No","Right","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"743","017","Qualification","No","Center","0","0","1","Yes","No","Yes","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"639","016","Qualification","No","Left","1","0","0","Yes","No","No","No","1,2","1","1","0","4","1","0","0","0","No","No","No","No","No"
"4023","018","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"4508","018","Qualification","No","Left","0","0","1","Yes","No","Yes","No","0","0","0","0","1","0","0","0","0","No","Yes","No","No","No"
"3003","018","Qualification","No","Center","1","1","0","Yes","Yes","Yes","No","1,2","0","0","0","1,2","0","0","0","0","No","Yes","No","No","No"
"3951","017,8","Qualification","No","Left","0","0","1","No","No","No","No","1","0","0","0","0","0","0","0","0","No","No","No","No","No"
"2228","018","Qualification","No","Center","0","0","1","Yes","No","No","No","0","0","2","0","3","0","1","0","0","No","Yes","Yes","No","No"
"191","018","Qualification","No","Right","0","0","1","Yes","No","Yes","No","1,2","0","1","0","1,2","0","0","1","0","No","Yes","No","No","No"
"5240","019","Qualification","No","Center","0","0","0","Yes","No","No","No","0","0","0","0","3","0","0","0","0","No","No","Yes","No","No"
"73","019","Qualification","No","Left","0","1","0","Yes","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"20","019","Qualification","No","Right","0","0","2","Yes","No","No","No","3","3","0","1","3","0","0","0","0","No","No","No","No","No"
"1493","019","Qualification","No","Left","0","0","1","Yes","No","Yes","No","0","1","1,2","0","1,2","0","0","0","0","No","No","No","No","No"
"2340","019","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"1551","019","Qualification","No","Right","0","0","1","No","No","Yes","No","1,2","0","1,2","0","1,2","1,2","0","0","0","No","No","No","No","No"
"1405","020","Qualification","No","Right","1","0","0","Yes","No","Yes","No","0","0","1","0","2","1","0","0","0","Yes","No","No","No","No"
"1518","020","Qualification","No","Left","0","0","0","Yes","No","Yes","No","4","0","0","0","3","0","0","0","0","No","No","Yes","No","No"
"2265","020","Qualification","Yes","none","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"334","01,20","Qualification","No","Left","1,2","0","0","Yes","Yes","No","No","1,2","1","1","0","1,2","0","0","0","0","No","No","No","No","No"
"1765","020","none","No","Center","0","0","0","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"3044","020","Qualification","No","Right","0","0","1","Yes","No","Yes","No","0","1","1,2","0","1,2","0","0","0","0","Yes","No","No","No","No"
"2791","021","Qualification","No","Center","1","0","0","Yes","Yes","Yes","No","0","2","1","0","2","1","0","0","0","No","No","No","No","No"
"3173","021","Qualification","No","Right","0","0","0","Yes","No","Yes","No","0","0","1","0","2","1","0","0","0","No","No","Yes","No","No"
"5254","021","Qualification","No","Right","0","1","0","Yes","No","Yes","No","0","2,3,4","0","0","1","0","0","0","0","No","No","Yes","No","No"
"1126","021","Qualification","No","Left","2","0","0","Yes","Yes","Yes","No","1","0","1","0","1","1,2","0","0","0","No","No","No","No","No"
"3017","021","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"578","021","Qualification","No","Left","1","0","0","Yes","No","Yes","No","0","0","0","0","0","0","3","0","0","No","Yes","No","No","Yes"
"3799","022","Qualification","No","Left","0","0","1","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"4930","022","Qualification","No","Right","1","0","0","Yes","No","Yes","No","1","1","1","0","4","0","0","0","0","No","No","No","No","No"
"3181","022","Qualification","No","Left","0","1","0","Yes","No","No","No","0","0","0","0","1","0","0","0","0","No","Yes","No","No","No"
"743","022","none","No","Center","0","0","0","Yes","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"1511","022","none","No","Right","0","0","0","No","No","Yes","No","1,2","1","1,2","0","1,2,3,4,5","0","0","0","0","No","No","No","No","No"
"1591","022","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"1559","023","Qualification","No","Center","0","0","0","No","No","No","No","1","0","0","0","1","0","0","0","0","No","No","No","No","No"
"3015","023","Qualification","No","Left","1","0","0","Yes","No","Yes","No","1","2","0","0","2","0","0","0","0","No","No","No","No","No"
"378","023","Qualification","No","Center","1","0","0","Yes","Yes","Yes","No","0","0","2","0","3","0","0","0","0","Yes","No","Yes","No","No"
"174","023","Qualification","No","Left","0","0","1","No","No","Yes","No","0","1","1","0","1,2","0","0","0","0","No","No","No","No","No"
"4093","023","Qualification","No","Right","0","0","0","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"2809","023","Qualification","No","Right","1","0","0","No","No","Yes","No","1","0","0","0","0","0","0","0","0","No","No","No","No","No"
"1450","024","none","No","Right","0","0","0","Yes","No","No","No","0","0","0","0","0","0","0","0","0","No","No","Yes","No","No"
"1507","024","Qualification","No","Left","1","0","0","No","Yes","Yes","No","1","1","0","0","2","0","0","0","0","No","Yes","No","No","No"
"3838","01,24","Qualification","No","none","0","1","0","Yes","No","Yes","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"1592","024","Qualification","No","Left","1","0","0","No","Yes","No","No","1,2,3","0","0","0","1,2,3,4","1,2,3","0","0","0","No","No","No","No","No"
"5349","024","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"340","024","Qualification","No","Right","2","0","0","No","No","Yes","No","0","0","4","0","3","0","0","0","0","Yes","No","No","No","No"
"250","025","Qualification","No","Left","0","0","0","Yes","No","Yes","No","1","0","2","0","3","0","0","0","0","No","Yes","No","No","No"
"801","025","Qualification","No","Right","1","0","1","Yes","Yes","Yes","No","1","2","0","0","1","1","0","0","0","No","No","No","No","No"
"3173","025","Qualification","No","Center","0","0","1","Yes","No","No","No","0","1","1","0","0","0","0","0","0","No","Yes","Yes","No","No"
"3157","025","Qualification","No","Left","0","0","1","No","No","Yes","No","0","0","0","0","1","0","0","0","0","No","No","No","No","No"
"1585","025","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","Yes","No","No"
"191","025","none","No","Right","1","0","0","No","No","Yes","No","1,2,3","0","0","0","1,2,3,4","0","0","0","0","No","No","No","No","No"
"1551","026","Qualification","No","Right","0","0","1","Yes","No","Yes","No","0","0","1","0","2","1","0","0","0","No","No","No","No","No"
"5240","026","Qualification","No","Center","0","0","0","No","No","No","No","0","1","0","0","1","0","0","0","0","No","Yes","No","No","No"
"1591","026","Qualification","No","Center","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","Yes","No","No"
"1765","026","Qualification","No","Right","0","0","0","Yes","No","Yes","No","0","1","0","0","0","0","0","0","0","No","No","No","No","Yes"
"1126","026","Qualification","No","Left","0","0","1","No","No","Yes","No","1,2,3","0","1,2","0","1,2,3,4,5","1","0","0","0","No","No","No","No","No"
"3951","026","Qualification","No","Left","0","0","1","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","Yes","No","No"
"73","027","Qualification","No","Left","0","1","0","Yes","No","Yes","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"1155","027","Qualification","No","Right","0","0","0","No","No","Yes","No","0","0","0","0","1","0","0","0","0","No","No","No","No","No"
"174","027","Qualification","No","Center","0","0","1","Yes","No","Yes","No","1","1,2","0","0","1,2,3,4,5","0","0","0","0","No","No","No","No","No"
"334","027","Qualification","No","Right","2","0","0","Yes","Yes","No","No","0","2,3","1,2,3,4","0","1,3,4","0","0","0","0","No","No","No","No","No"
"5254","027","none","No","Right","0","1","0","No","No","Yes","No","0","0","0","0","1","0","0","0","0","No","No","No","No","No"
"4023","027","Qualification","No","Goalie,Right","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
