Team	Match	AutoHighHot	AutoHighCold	AutoLowHot	AutoLowCold	AutoMiss	TrussField	TrussHP	TrussFail	High	HighMiss	MiscFoul	MiscStuckBall	MiscDeadBot	Pickups	LowGoal	EtcMobility	EtcNoShow	EtcDefending	EtcDefended	EtcGoalie	EtcGoalieBlock
5236	1	1	0	0	0	0	0	0	0	2	1	0	0	0	3	1	1	0	0	0	0	0
3059	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
250	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
5149	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3015	1	0	1	0	0	0	2	0	0	3	1	0	0	0	5	0	0	0	0	0	0	0
3687	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
229	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
3936	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3044	2	0	0	0	0	1	0	0	0	2	0	0	0	0	3	2	1	0	0	0	0	0
174	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1511	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0
379	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0
2791	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	1	0	0
4134	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
1493	3	0	0	0	0	0	3	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0
3003	3	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0
1708	4	0	0	0	0	0	0	0	0	1	2	0	0	1	3	0	1	0	0	0	0	0
2053	4	0	0	0	0	1	0	0	0	1	2	0	0	0	3	0	1	0	0	1	0	0
578	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5030	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
20	4	0	0	0	0	2	1	0	0	4	0	0	0	0	2	0	1	0	1	1	0	0
2911	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0
4508	5	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0
116	5	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
870	5	0	0	0	0	1	0	0	0	2	1	0	0	0	2	1	1	0	0	1	0	0
53	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
527	5	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0
340	5	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0
4975	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4203	6	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0
145	6	0	1	0	0	0	0	0	0	1	1	0	0	0	3	0	1	0	0	1	0	0
3193	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
3990	6	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	1	1	0	0
358	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
1665	7	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	1	1	0	0
4122	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3059	7	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
2228	7	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0
1126	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
1511	7	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0
4508	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
229	8	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
53	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
3687	8	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
2791	8	0	0	0	0	1	3	0	0	0	0	0	0	0	9	2	1	0	0	0	0	0
379	8	0	0	0	0	0	1	0	0	2	0	0	0	0	2	1	0	0	0	1	0	0
5149	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
5030	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
340	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
4975	9	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2053	9	0	0	0	0	1	1	0	0	1	1	0	0	0	4	2	1	0	0	0	0	0
1493	9	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0
1126	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
4122	3	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
3003	10	0	0	0	0	1	1	0	0	3	2	0	0	0	4	0	1	0	0	1	0	0
358	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
5236	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0
3193	10	0	1	0	0	0	2	0	0	0	2	0	0	0	3	0	1	0	1	1	0	0
4134	10	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
116	10	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1708	11	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	1	0	1	1	0	0
3936	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
3015	11	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0
578	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3990	11	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0
870	11	0	1	0	0	0	1	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0
527	12	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
2228	12	1	0	0	0	0	2	0	0	0	1	0	0	0	3	0	1	0	0	1	0	0
145	12	1	0	0	0	0	2	0	0	0	1	0	0	0	3	1	1	0	0	1	0	0
4203	12	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
20	13	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
379	13	0	0	0	0	1	1	0	0	1	2	0	0	0	3	2	1	0	0	1	0	0
1665	13	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
116	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
3044	13	0	0	0	0	1	1	0	0	1	1	0	0	0	4	0	1	0	1	0	0	0
250	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
2053	14	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0
1126	14	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
5236	14	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0
53	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
229	14	0	0	0	0	1	0	0	0	1	2	0	0	0	2	1	1	0	0	0	0	0
4122	14	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0
1511	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
3015	15	0	1	0	0	0	0	2	0	1	0	0	0	0	3	0	1	0	1	0	0	0
3990	15	0	1	0	0	0	0	0	0	1	2	0	0	0	3	0	1	0	0	1	0	0
174	15	0	1	0	0	0	3	0	0	0	0	0	0	0	3	0	1	0	1	1	0	0
2911	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
4134	15	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
578	16	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0
3936	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4975	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4508	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
20	16	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
3003	16	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0
340	17	0	1	0	0	1	0	0	0	2	2	0	1	1	5	0	1	0	0	0	0	0
2791	17	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	1	0	0	0
3193	17	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0
527	17	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
3059	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1708	17	1	0	0	0	0	1	0	0	0	2	0	0	0	6	2	1	0	1	1	0	0
358	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
5030	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
4203	18	0	0	0	0	1	2	0	0	3	1	0	0	0	3	0	1	0	0	0	0	0
3687	18	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
3044	18	1	0	0	0	0	1	0	0	0	0	0	1	0	3	2	1	0	1	0	0	0
2228	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1665	19	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
870	19	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0
1493	19	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	0	1	1	0	0
250	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
5149	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
145	19	0	1	0	0	0	0	2	0	1	2	0	0	0	6	1	1	0	0	0	0	0
174	29	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	1	0	0
2791	29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3015	20	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	1	0	0	0
53	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
20	20	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
3990	20	0	0	0	0	1	0	0	0	3	0	0	0	0	5	0	1	0	0	1	0	0
358	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
5236	21	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	1	1	0	0
340	21	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
2053	21	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0
1511	21	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0
3936	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
578	22	0	0	0	0	1	1	0	0	1	1	0	0	0	3	0	1	0	1	0	0	0
3003	22	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	1	0	0	1	0	0
1493	22	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	1	0	0	1	0	0
229	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3059	22	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	1	0	1	0	0	0
5030	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3044	23	0	1	0	0	0	1	0	0	2	1	0	0	0	3	2	1	0	1	1	0	0
4134	23	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0
4508	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
2228	23	1	0	0	0	0	0	1	0	2	0	0	0	0	3	0	1	0	0	0	0	0
4203	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
250	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
1126	24	0	0	0	0	1	2	0	0	0	1	0	0	0	3	1	1	0	1	1	0	0
379	24	0	0	0	0	1	0	0	0	0	0	0	0	0	4	3	1	0	0	1	0	0
116	24	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
4975	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
5149	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
870	24	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0
3193	24	0	0	0	0	1	0	0	0	0	2	0	0	0	2	2	0	0	1	0	0	0
3687	25	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
1665	25	1	0	0	0	0	0	0	0	0	2	0	0	0	4	1	1	0	1	1	0	0
2911	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
4122	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
527	25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
1708	26	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0
1511	26	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0
4134	26	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
250	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
2791	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
145	26	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
3990	27	1	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	1	1	0	0
379	27	0	0	0	0	1	1	0	0	1	1	0	0	0	2	0	1	0	0	1	0	0
2053	27	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0
3936	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
1493	27	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0
3059	27	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
4122	28	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	0
5030	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3044	28	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	1	0	1	0	0	0
3193	28	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0
4203	28	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0
116	28	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
5149	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
4975	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1708	29	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0
2228	29	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
174	29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
358	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3015	30	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0
3687	39	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0
20	39	0	0	0	0	0	0	0	0	1	2	0	0	0	4	2	0	0	1	1	0	0
229	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
145	30	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	1	0	0
578	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
870	31	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0
527	31	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0
3003	31	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	1	0	1	1	0	0
1665	31	0	1	0	0	0	1	0	0	0	2	0	0	0	4	1	1	0	0	1	0	0
4508	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
5236	31	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0
53	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
340	32	2	0	0	0	0	0	0	0	3	0	0	0	0	3	2	1	0	0	0	0	0
250	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3193	32	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0
2911	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1126	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1708	33	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	1	0	0	1	0	0
145	33	0	0	0	0	1	0	0	0	0	1	0	0	0	2	2	1	0	1	1	0	0
4122	33	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
3936	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4203	33	0	0	0	0	1	0	0	0	2	2	0	0	0	1	0	0	0	0	1	0	0
3059	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
1511	34	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0
2228	34	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	1	0	0	0
20	34	0	0	0	0	1	0	0	0	4	1	0	0	0	2	0	0	0	0	1	0	0
229	34	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0
870	34	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	1	0	0
4975	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4508	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3990	35	0	1	0	0	0	0	0	0	2	3	0	0	0	5	1	1	0	0	0	0	0
1493	35	0	0	0	0	1	3	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0
1665	35	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
1126	35	1	0	0	0	0	0	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0
174	35	0	1	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0
